"id","name","remark","active_status","created_by","updated_by","created_at","updated_at","deleted_at"
"1","Permanent Address","Permanent Address","1",NULL,NULL,"2020-03-30 11:35:30","2020-03-30 11:35:30",NULL
"2","Temporary Address","Temporary Address","1",NULL,NULL,"2020-03-30 11:35:30","2020-03-30 11:35:30",NULL
"3","Shipping Address","Shipping Address","1",NULL,NULL,"2020-03-30 11:35:30","2020-03-30 11:35:30",NULL
"4","Delivery Address","Delivery Address","1",NULL,NULL,"2020-03-30 11:35:30","2020-03-30 11:35:30",NULL
